NOME;EMAIL;TELEFONE ;USUARIO;SENHA ;DATANASCIMENTO;MATRICULA;CONTACORRENTE
Georgi;facello.georgi@acme.com;(11) 97434-4963;380;12345;1986-06-26;1;991887
Bezalel;simmel.bezalel@acme.com;(11) 97434-4964;584;12346;1985-11-21;2;991888
Parto;bamford.parto@acme.com;(11) 97434-4965;403;12347;1986-08-28;3;991889
Chirstian;koblick.chirstian@acme.com;(11) 97434-4966;891;12348;1986-12-01;4;991890
Kyoichi;maliniak.kyoichi@acme.com;(11) 97434-4967;229;12349;1989-09-12;5;991891
Anneke;preusig.anneke@acme.com;(11) 97434-4968;565;12350;1989-06-02;6;991892
Tzvetan;zielinski.tzvetan@acme.com;(11) 97434-4969;130;12351;1989-02-10;7;991893
Saniya;kalloufi.saniya@acme.com;(11) 97434-4970;146;12352;1994-09-15;8;991894
Sumant;peac.sumant@acme.com;(11) 97434-4971;59;12353;1985-02-18;9;991895
Duangkaew;piveteau.duangkaew@acme.com;(11) 97434-4972;459;12354;1989-08-24;10;991896
Mary;sluis.mary@acme.com;(11) 97434-4973;533;12355;1990-01-22;11;991897
Patricio;bridgland.patricio@acme.com;(11) 97434-4974;934;12356;1992-12-18;12;991898
Eberhardt;terkki.eberhardt@acme.com;(11) 97434-4975;667;12357;1985-10-20;13;991899
Berni;genin.berni@acme.com;(11) 97434-4976;809;12358;1987-03-11;14;991900
Guoxiang;nooteboom.guoxiang@acme.com;(11) 97434-4977;173;12359;1987-07-02;15;991901
Kazuhito;cappelletti.kazuhito@acme.com;(11) 97434-4978;82;12360;1995-01-27;16;991902
Cristinel;bouloucos.cristinel@acme.com;(11) 97434-4979;847;12361;1993-08-03;17;991903
Kazuhide;peha.kazuhide@acme.com;(11) 97434-4980;2;12362;1987-04-03;18;991904
Lillian;haddadi.lillian@acme.com;(11) 97434-4981;747;12363;1999-04-30;19;991905
Mayuko;warwick.mayuko@acme.com;(11) 97434-4982;587;12364;1991-01-26;20;991906
Ramzi;erde.ramzi@acme.com;(11) 97434-4983;126;12365;1988-02-10;21;991907
Shahaf;famili.shahaf@acme.com;(11) 97434-4984;421;12366;1995-08-22;22;991908
Bojan;montemayor.bojan@acme.com;(11) 97434-4985;68;12367;1989-12-17;23;991909
Suzette;pettey.suzette@acme.com;(11) 97434-4986;62;12368;1997-05-19;24;991910
Prasadram;heyers.prasadram@acme.com;(11) 97434-4987;691;12369;1987-08-17;25;991911
Yongqiao;berztiss.yongqiao@acme.com;(11) 97434-4988;44;12370;1995-03-20;26;991912
Divier;reistad.divier@acme.com;(11) 97434-4989;735;12371;1989-07-07;27;991913
Domenick;tempesti.domenick@acme.com;(11) 97434-4990;256;12372;1991-10-22;28;991914
Otmar;herbst.otmar@acme.com;(11) 97434-4991;28;12373;1985-11-20;29;991915
Elvis;demeyer.elvis@acme.com;(11) 97434-4992;29;12374;1994-02-17;30;991916
Karsten;joslin.karsten@acme.com;(11) 97434-4993;318;12375;1991-09-01;31;991917
Jeong;reistad.jeong@acme.com;(11) 97434-4994;382;12376;1990-06-20;32;991918
Arif;merlo.arif@acme.com;(11) 97434-4995;510;12377;1987-03-18;33;991919
Bader;swan.bader@acme.com;(11) 97434-4996;764;12378;1988-09-21;34;991920
Alain;chappelet.alain@acme.com;(11) 97434-4997;166;12379;1988-09-05;35;991921
Adamantios;portugali.adamantios@acme.com;(11) 97434-4998;99;12380;1992-01-03;36;991922
Pradeep;makrucki.pradeep@acme.com;(11) 97434-4999;524;12381;1990-12-05;37;991923
Huan;lortz.huan@acme.com;(11) 97434-5000;457;12382;1989-09-20;38;991924
Alejandro;brender.alejandro@acme.com;(11) 97434-5001;838;12383;1988-01-19;39;991925
Weiyi;meriste.weiyi@acme.com;(11) 97434-5002;402;12384;1993-02-14;40;991926
Uri;lenart.uri@acme.com;(11) 97434-5003;557;12385;1989-11-12;41;991927
Magy;stamatiou.magy@acme.com;(11) 97434-5004;971;12386;1993-03-21;42;991928
Yishay;tzvieli.yishay@acme.com;(11) 97434-5005;502;12387;1990-10-20;43;991929
Mingsen;casley.mingsen@acme.com;(11) 97434-5006;836;12388;1994-05-21;44;991930
Moss;shanbhogue.moss@acme.com;(11) 97434-5007;56;12389;1989-09-02;45;991931
Lucien;rosenbaum.lucien@acme.com;(11) 97434-5008;879;12390;1992-06-20;46;991932
Zvonko;nyanchama.zvonko@acme.com;(11) 97434-5009;697;12391;1989-03-31;47;991933
Florian;syrotiuk.florian@acme.com;(11) 97434-5010;456;12392;1985-02-24;48;991934
Basil;tramer.basil@acme.com;(11) 97434-5011;332;12393;1992-05-04;49;991935
Yinghua;dredge.yinghua@acme.com;(11) 97434-5012;308;12394;1990-12-25;50;991936
Hidefumi;caine.hidefumi@acme.com;(11) 97434-5013;697;12395;1992-10-15;51;991937
Heping;nitsch.heping@acme.com;(11) 97434-5014;84;12396;1988-05-21;52;991938
Sanjiv;zschoche.sanjiv@acme.com;(11) 97434-5015;807;12397;1986-02-04;53;991939
Mayumi;schueller.mayumi@acme.com;(11) 97434-5016;138;12398;1995-03-13;54;991940
Georgy;dredge.georgy@acme.com;(11) 97434-5017;692;12399;1992-04-27;55;991941
Brendon;bernini.brendon@acme.com;(11) 97434-5018;904;12400;1990-02-01;56;991942
Ebbe;callaway.ebbe@acme.com;(11) 97434-5019;334;12401;1992-01-15;57;991943
Berhard;mcfarlin.berhard@acme.com;(11) 97434-5020;575;12402;1987-04-13;58;991944
Alejandro;mcalpine.alejandro@acme.com;(11) 97434-5021;61;12403;1991-06-26;59;991945
Breannda;billingsley.breannda@acme.com;(11) 97434-5022;675;12404;1987-11-02;60;991946
Tse;herber.tse@acme.com;(11) 97434-5023;685;12405;1985-09-17;61;991947
Anoosh;peyn.anoosh@acme.com;(11) 97434-5024;765;12406;1991-08-30;62;991948
Gino;leonhardt.gino@acme.com;(11) 97434-5025;935;12407;1989-04-08;63;991949
Udi;jansch.udi@acme.com;(11) 97434-5026;182;12408;1985-11-20;64;991950
Satosi;awdeh.satosi@acme.com;(11) 97434-5027;917;12409;1988-05-18;65;991951
Kwee;schusler.kwee@acme.com;(11) 97434-5028;242;12410;1986-02-26;66;991952
Claudi;stavenow.claudi@acme.com;(11) 97434-5029;150;12411;1987-03-04;67;991953
Charlene;brattka.charlene@acme.com;(11) 97434-5030;867;12412;1987-08-07;68;991954
Margareta;bierman.margareta@acme.com;(11) 97434-5031;306;12413;1989-11-05;69;991955
Reuven;garigliano.reuven@acme.com;(11) 97434-5032;446;12414;1985-10-14;70;991956
Hisao;lipner.hisao@acme.com;(11) 97434-5033;335;12415;1987-10-01;71;991957
Hironoby;sidou.hironoby@acme.com;(11) 97434-5034;740;12416;1988-07-21;72;991958
Shir;mcclurg.shir@acme.com;(11) 97434-5035;306;12417;1991-12-01;73;991959
Mokhtar;bernatsky.mokhtar@acme.com;(11) 97434-5036;602;12418;1990-08-13;74;991960
Gao;dolinsky.gao@acme.com;(11) 97434-5037;350;12419;1987-03-19;75;991961
Erez;ritzmann.erez@acme.com;(11) 97434-5038;203;12420;1985-07-09;76;991962
Mona;azuma.mona@acme.com;(11) 97434-5039;96;12421;1990-03-02;77;991963
Danel;mondadori.danel@acme.com;(11) 97434-5040;442;12422;1987-05-26;78;991964
Kshitij;gils.kshitij@acme.com;(11) 97434-5041;663;12423;1986-03-27;79;991965
Premal;baek.premal@acme.com;(11) 97434-5042;376;12424;1985-11-19;80;991966
