nome;email;cpf;telefone;login;senha;id_endereco;id_tipo_usuario;id_instituicao
Georgi;facello.georgi@acme.com;861.656.060-24;(63) 98557-7145;georgi123;ylagy;1;1;1
Bezalel;simmel.bezalel@acme.com;481.547.560-13;(49) 97510-4751;opsithur;JM%nD;2;1;2
Parto;bamford.parto@acme.com;407.682.750-32;(47) 97215-2487;nstUbso;A1nDw;3;1;3
Chirstian;koblick.chirstian@acme.com;245.711.650-30;(32) 98718-1315;tICICAsT;%6dgE;4;1;4
Kyoichi;maliniak.kyoichi@acme.com;826.167.470-30;(41) 99901-1553;Contra;x*rCP;5;1;5
Anneke;preusig.anneke@acme.com;575.566.890-69;(28) 98051-1143;Sabacon;"+P;67";6;1;6
Tzvetan;zielinski.tzvetan@acme.com;618.523.940-05;(44) 98523-7123;Amazon;n}hxs;7;1;7
Saniya;kalloufi.saniya@acme.com;157.567.620-60;(47) 98160-5485;Manta;9>rnO;8;2;8
Sumant;peac.sumant@acme.com;366.044.170-85;(22) 98148-8228;Starke.62;3O>#{;9;2;9
Duangkaew;piveteau.duangkaew@acme.com;152.602.680-59;(96) 98611-4473;Zinroris25;9a}z&;10;3;10
Mary;sluis.mary@acme.com;993.184.680-16;(67) 97568-8864;evgeniya;DIL.J;11;3;11
Patricio;bridgland.patricio@acme.com;913.773.770-83;(63) 99879-3330;drodmaegnud_;d(6,G;12;3;12
Eberhardt;terkki.eberhardt@acme.com;029.095.590-41;(47) 97924-3182;money_;?nDlo;13;3;13
Berni;genin.berni@acme.com;885.982.940-20;(61) 98927-4497;Hyenbuflern_;iNwT$;14;3;14
Guoxiang;nooteboom.guoxiang@acme.com;209.997.380-62;(46) 96828-1817;Catus;T@8,c;15;2;15
Kazuhito;cappelletti.kazuhito@acme.com;252.786.330-26;(69) 96853-5263;#halo;hkiM);16;4;16
Cristinel;bouloucos.cristinel@acme.com;674.965.300-69;(98) 99146-9635;pal%;yW]FX;17;4;17
Kazuhide;peha.kazuhide@acme.com;551.791.810-70;(61) 97974-8157;sorokin;fyO}(;18;4;18
Lillian;haddadi.lillian@acme.com;591.866.050-03;(94) 96948-4347;Bibanise;+3h}W;19;4;19
Mayuko;warwick.mayuko@acme.com;143.640.650-13;(37) 97147-3290;frog;y$w!@;20;4;20
